Sample,Insect,Host,Extraction,Group
HF1,Horse fly,Buffalo,Whole body,Buffalo
HF2,Horse fly,Buffalo,Whole body,Buffalo
HF3,Horse fly,Cow,Whole body,Cow
HF6,Horse fly,Cow,Whole body,Cow
HF4,Horse fly,Goat,Whole body,Goat
HF8,Horse fly,Goat,Whole body,Goat
